sample_idx,condition,attack_type,deletion_auc,insertion_auc,score,ecs,ecs_nr_proxy,stability,spectral_alignment,faithfulness_preservation
0,C0_clean,bonafide,0.5432384426905035,0.5476151492820401,1.0,0.8472675174715322,0.4274281084537506,1.0,0.49313685297966003,0.9977548719254473
0,C8_opus16,bonafide,0.5406546275912765,0.5460707517015146,1.0,0.8085482736347038,0.4381659954786301,0.9087343811988831,0.4883440136909485,0.9951710568262203
0,C9_opus6,bonafide,0.5538387698161037,0.5206309904778881,1.0,0.2625093009169294,0.16499637380242346,0.16284197568893433,0.08076357543468475,0.5771447933698343
0,N1_awgn20,bonafide,0.5300665941546716,0.5416225091938449,1.0,0.7689445624352806,0.4944916725158691,0.8435330390930176,0.4538547992706299,0.9845830233896155
0,N2_awgn10,bonafide,0.5358963713737677,0.534344018317272,1.0,0.789074733584713,0.49971876144409183,0.8242124319076538,0.540886402130127,0.9904128006087115
1,C0_clean,bonafide,0.5293018967196188,0.5368526251953788,1.0,0.8364690434063529,0.4274281084537506,1.0,0.46488288044929504,0.9900139309052146
1,C8_opus16,bonafide,0.5546227525312113,0.5401458527333757,1.0,0.8178746218253052,0.4381659954786301,0.9087343811988831,0.5299376845359802,0.9846652132831929
1,C9_opus6,bonafide,0.5586299338354341,0.5202453628067003,1.0,0.2613834139076721,0.16522867634892463,0.16242781281471252,0.0663753792643547,0.5883322500082689
1,N1_awgn20,bonafide,0.5525868902187331,0.536607014580122,1.0,0.7704926205760402,0.48159970939159397,0.8337250351905823,0.4699742794036865,0.9867010755956711
1,N2_awgn10,bonafide,0.5473316328704525,0.5306768734402084,1.0,0.7673618494338141,0.49162551760673523,0.8390545845031738,0.44717705249786377,0.9919563329439517
2,C0_clean,bonafide,0.5333590697555078,0.5409843061793457,1.0,0.8174143931139868,0.4274281084537506,1.0,0.40206655859947205,0.989314751780484
2,C8_opus16,bonafide,0.5426821537819723,0.5375964462120365,1.0,0.8241776110608406,0.4381659954786301,0.9087343811988831,0.5369750261306763,0.9986378358069484
2,C9_opus6,bonafide,0.5604130536355105,0.5207647401403432,1.0,0.2547737707577465,0.16949261739850044,0.17277242243289948,0.07274979650974274,0.5461328761055462
